Title,Original Price,Current Price
"Mandarīni MURCOTT, 1 kg","2,49€",1.39
"Āboli RED PRINCE, 1 kg","1,29€",0.79
"Sīpoli, 1 kg","0,69€",0.28
"Cūkgaļas kakla karbonāde, 1 kg","6,99€",3.69
"Provansas majonēze FRANCIS, 250 g","1,29€",0.79
"Skābais krējums VALMIERA, 450 g, 20%","2,39€",1.59
"Biezpiens VALMIERAS, 180 g, 0,5%, 5% vai 9%","1,49€",0.75
"Torte CIELAVIŅA STABURADZE, 700 g","15,49€",8.99
"Cepumi OREO ar laima un siera vai ar vīģu un mačas garšu, 95 g","2,99€",1.99
"Saldumiem LAIMA, (izņemot vafeļu tortēm)",N/A,N/A
Čipsiem un uzkodām ESTRELLA,N/A,N/A
Produkcijai KIKKOMANN,N/A,N/A
Āzijas virtuves produktiem SANTA MARIA,N/A,N/A
Produkcijai FUDO,N/A,N/A
Āzijas virtuves produktiem MAGGI,N/A,N/A
Nūdeļu ēdieniem OYAKATA,N/A,N/A
Ātri pagatavojamām nūdelēm NONGSHIM,N/A,N/A
"Ātri pagatavojamās nūdeles SUN YAN ar vistas garšu, 60 g","0,49€",0.39
"Ātri pagatavojamās rīsu nūdeles GLADS ar TOM YAM, 65 g, vai PHO BO mērci","1,99€",1.29
"Ātri pagatavojamās nūdeles SAMYANG, 70 g vai 80 g, divi veidi","2,99€",1.99
"Ātri pagatavojamās nūdeles OTOKI JIN RAMEN MILD vai SPICY, 65 g","2,99€",1.79
"Ātri pagatavojamās rīsu nūdeles VIFON PHO vai PHO GA, 60 g","1,99€",1.29
"Tunzivs poke vai terijaki mērcē KAIJA, 110 g","2,69€",1.99
"Asās vistas gaļas bumbiņas Āzijas gaumē, 400 g, ĀDAŽI","3,99€",2.69
"Tofu LUNTER ar čili pipariem vai Āzijas terijaki marinādē, 180 g","1,49€",1.19
"Ceptas vai grilētas sardīnes kimči mērcē BRIIS, 140 g","2,49€",1.49
"Krekeri TAIPING SODA ar sīpolu garšu, 100 g, vai PACIFIC SODA ar jūras aļģu garšu","1,69€",1.19
"Uzkodas CRUNCHITOS, 45 g vai 60 g, trīs veidi","5,99€",3.49
"Kukurūzas čipsi KOIKEYA, 70 g vai 73 g, trīs veidi","2,99€",1.69
"Uzkoda WANT WANT, 85 g, trīs veidi","3,49€",2.29
Nūdeļu ēdieniem OYAKATA,N/A,N/A
Ātri pagatavojamām nūdelēm NONGSHIM,N/A,N/A
"Ātri pagatavojamās nūdeles SUN YAN ar vistas garšu, 60 g","0,49€",0.39
"Ātri pagatavojamās rīsu nūdeles GLADS ar TOM YAM, 65 g, vai PHO BO mērci","1,99€",1.29
"Ātri pagatavojamās nūdeles SAMYANG, 70 g vai 80 g, divi veidi","2,99€",1.99
"Ātri pagatavojamās nūdeles OTOKI JIN RAMEN MILD vai SPICY, 65 g","2,99€",1.79
"Ātri pagatavojamās rīsu nūdeles VIFON PHO vai PHO GA, 60 g","1,99€",1.29
"Tunzivs poke vai terijaki mērcē KAIJA, 110 g","2,69€",1.99
"Asās vistas gaļas bumbiņas Āzijas gaumē, 400 g, ĀDAŽI","3,99€",2.69
"Tofu LUNTER ar čili pipariem vai Āzijas terijaki marinādē, 180 g","1,49€",1.19
"Ceptas vai grilētas sardīnes kimči mērcē BRIIS, 140 g","2,49€",1.49
"Krekeri TAIPING SODA ar sīpolu garšu, 100 g, vai PACIFIC SODA ar jūras aļģu garšu","1,69€",1.19
"Uzkodas CRUNCHITOS, 45 g vai 60 g, trīs veidi","5,99€",3.49
"Kukurūzas čipsi KOIKEYA, 70 g vai 73 g, trīs veidi","2,99€",1.69
"Uzkoda WANT WANT, 85 g, trīs veidi","3,49€",2.29
"Kumkvati, 150 g","2,99€",1.69
"Salāti PAK CHOI, 300 g","1,99€",1.49
"Sēnes ERINGI, 200 g","2,79€",2.29
"Fermentēti dārzeņi KIMCHI DIMDIŅI, 250 g","2,29€",1.89
"Telpaugs SANSEVJĒRA, 1 gab., Ø12 cm","6,99€",3.99
"Krēmsiers PHILADELPHIA CLASSIC XL, 300 g","4,99€",3.99
"Suši ikri MASAGO SUDRABLĪNIS, 80 g, oranži vai sarkani","4,99€",2.99
"Surimi nūdeles ATLANTIKA, 250 g, atdzesētas","4,49€",1.99
"Asie kimči salāti LIDO, 180 g","3,49€",2.79
"Wok ar olu nūdelēm un vistas fileju, 350 g","3,99€",3.29
"Poke ar lasi, 350 g","4,49€",3.59
"Salāti SAKURA, 1 kg, atkausēti","19,99€",13.99
"Marinēts ķirbis KANPYO FUDO, 1 kg","10,99€",8.49
"Marinēts rozā ingvers FUDO, 1 kg","5,69€",3.99
"Mīdiju gaļa eļļā ar saldinātāju, 1 kg","18,99€",14.99
"Kumkvati, 150 g","2,99€",1.69
"Salāti PAK CHOI, 300 g","1,99€",1.49
"Sēnes ERINGI, 200 g","2,79€",2.29
"Fermentēti dārzeņi KIMCHI DIMDIŅI, 250 g","2,29€",1.89
"Telpaugs SANSEVJĒRA, 1 gab., Ø12 cm","6,99€",3.99
"Krēmsiers PHILADELPHIA CLASSIC XL, 300 g","4,99€",3.99
"Suši ikri MASAGO SUDRABLĪNIS, 80 g, oranži vai sarkani","4,99€",2.99
"Surimi nūdeles ATLANTIKA, 250 g, atdzesētas","4,49€",1.99
"Asie kimči salāti LIDO, 180 g","3,49€",2.79
"Wok ar olu nūdelēm un vistas fileju, 350 g","3,99€",3.29
"Poke ar lasi, 350 g","4,49€",3.59
"Salāti SAKURA, 1 kg, atkausēti","19,99€",13.99
"Marinēts ķirbis KANPYO FUDO, 1 kg","10,99€",8.49
"Marinēts rozā ingvers FUDO, 1 kg","5,69€",3.99
"Mīdiju gaļa eļļā ar saldinātāju, 1 kg","18,99€",14.99
"Moči ROYAL FAMILY, 120 g, ar šokolādes-piparmētru vai matča-lates garšu","4,29€",2.99
Desertiem NANACO,N/A,N/A
"Žāvēts mango FRUNICA, 500 g","9,99€",4.99
"Želeja KONJAC TARAMI ar meloņu vai muskata vīnogu garšu, 150 g","1,99€",1.19
