title,original_price,current_price
Baltmaize Opā 300g,‌,0.39
Auzu Pārslas Tip Top 400g,‌,0.69
Bekons Tip Top Karsti Kūpināts Šķēlēs 100g,‌,1.49
Bietes Tip Top Vārītas Grieztas 500g,‌,0.99
Biezpiens Tip Top 9% 400g,‌,2.49
Cepumi Tip Top Iemīļotie 180g,‌,0.62
Desa Tip Top Auksti Kūpināta 200g,‌,2.49
Desa Tip Top Auksti Kūpināta Šķēlēs 90g,‌,1.19
Eļļa Tip Top Saulespuķu 1l,‌,1.99
Galda Salvetes Opā Baltas 1ply 33x33cm 50gab,‌,0.99
Kabatlakatiņi Tip Top 3 Kārtas 1gab,‌,0.25
Kafija Šķīstošā Tip Top Gold 200g,‌,6.89
Graudainais Biezpiens Tip Top 9% 185g,‌,1.25
D Ūdens Tip Top Dzeramais Gāz.500ml Pet,‌,0.29
Kāposti Tip Top Skābēti Ar Burkāniem 900g,‌,2.19
Kefīrs Tip Top 2% 1kg,‌,1.19
Kečups Tip Top 830g,‌,1.69
Karameles Tip Top Ar Bumbieru Garšu Sver.,‌,3.99
Makaroni Tip Top Spaghetti Nr.7 400g,‌,0.89
Makaroni Tip Top Penne Rigate 400g,‌,0.89
Kukurūzas Nūjiņas Tip Top Saldās 130g,‌,1.29
Nageti Tip Top Cāļa Filejas 300g,‌,1.79
Sausās Brokastis Tip Top Bumbiņas Ar Kakao 200g,‌,0.89
Saldējums Tip Top Šokolādes Garšas Vafeļu Glāzē  65g,‌,0.49
Saldais Krējums Tip Top 35% 200ml,‌,1.09
Salami Tip Top Karsti Kūpināts Šķēlēs 100g,‌,1.29
Baltmaize Opā 300g,‌,0.39
Auzu Pārslas Tip Top 400g,‌,0.69
Bekons Tip Top Karsti Kūpināts Šķēlēs 100g,‌,1.49
Bietes Tip Top Vārītas Grieztas 500g,‌,0.99
Biezpiens Tip Top 9% 400g,‌,2.49
Cepumi Tip Top Iemīļotie 180g,‌,0.62
Desa Tip Top Auksti Kūpināta 200g,‌,2.49
Desa Tip Top Auksti Kūpināta Šķēlēs 90g,‌,1.19
Eļļa Tip Top Saulespuķu 1l,‌,1.99
Galda Salvetes Opā Baltas 1ply 33x33cm 50gab,‌,0.99
Kabatlakatiņi Tip Top 3 Kārtas 1gab,‌,0.25
Kafija Šķīstošā Tip Top Gold 200g,‌,6.89
Graudainais Biezpiens Tip Top 9% 185g,‌,1.25
D Ūdens Tip Top Dzeramais Gāz.500ml Pet,‌,0.29
Kāposti Tip Top Skābēti Ar Burkāniem 900g,‌,2.19
Kefīrs Tip Top 2% 1kg,‌,1.19
Kečups Tip Top 830g,‌,1.69
Karameles Tip Top Ar Bumbieru Garšu Sver.,‌,3.99
Makaroni Tip Top Spaghetti Nr.7 400g,‌,0.89
Makaroni Tip Top Penne Rigate 400g,‌,0.89
Kukurūzas Nūjiņas Tip Top Saldās 130g,‌,1.29
Nageti Tip Top Cāļa Filejas 300g,‌,1.79
Sausās Brokastis Tip Top Bumbiņas Ar Kakao 200g,‌,0.89
Saldējums Tip Top Šokolādes Garšas Vafeļu Glāzē  65g,‌,0.49
Saldais Krējums Tip Top 35% 200ml,‌,1.09
Salami Tip Top Karsti Kūpināts Šķēlēs 100g,‌,1.29
Piens Opā! 2.5% 0.9l,‌,0.75
Šķiņķi Rgk Broileru Bez Kaula Ar Ādu Atdzes. Vakuumā,"5,99 € - 6,25 €",4.99
Šķiņķi Rgk Broileru Bez Kaula Ar Ādu Atdzes. Kārbā,"5,99 € - 6,25 €",4.99
Salami Tip Top Karsti Kūpināta 400g,"0,00 € - 0,00 €",2.49
D Alus Tip Top Bairiņš 4.2% 1l Pet,‌,1.17
D Degvīns Opā 40% 0.5l Pet,‌,6.35
D Minerālūdens Mangaļi Plus Ar Minerālsāļiem Gāz.1l Pet,‌,0.79
Siers Mozzarella Mini Tip Top 100g,‌,1.29
Vīns S.georgian Valleys Alazani Medium Sweet Red 11.5% 0.75l,"9,49 € - 9,67 €",6.79
Vīns B.georgian Valleys Alazani Medium Sweet White 11% 0.75l,"9,49 € - 9,67 €",6.79
Šašliks Lido Cāļa Gaļas 800g,"8,99 € - 9,89 €",7.99
Dūmdesa Rīgas Miesnieks Milano Šķēlēs 100g,"2,29 € - 2,79 €",1.59
Desa Forevers Aknu Čehu 300g,"1,19 € - 1,39 €",0.89
Steiks Rm Cūkgaļas Majonēzes Marinādē 500g,"4,99 € - 5,89 €",3.99
Steiks Rm Cūkgaļas Ar Ķiplokiem 500g,"4,99 € - 5,89 €",3.99
Šokolāde Milka Bubbly Cappuccino 97g,"2,59 € - 3,49 €",1.59
Tamponi Bella For Teens Regular 16gb,"2,99 € - 3,89 €",1.99
Tamponi Bella For Teens Super 16gb,"2,99 € - 3,89 €",1.99
Autiņbiksītes Pampers Pants Mega Quad S4 108gab,"25,99 € - 26,89 €",24.99
Autiņbiksītes Pampers Pants  Mega Quad S5 96gab,"25,99 € - 26,89 €",24.99
Šķīstošais Dzēriens Mokate Kaboom Tropical 30g,"2,19 € - 3,09 €",1.19
Šķīstošais Dzēriens Mokate Kaboom Exotic 30g,"2,19 € - 3,09 €",1.19
Šķīstošais Dzēriens Mokate Kaboom Tutti Frutti 30g,"2,19 € - 3,09 €",1.19
Biezenis Elfik Ābols Banāns 6+ 100g,"1,09 € - 1,29 €",0.79
Biezenis Elfik Ābols Persiks 6+ 100g,"1,09 € - 1,29 €",0.79
Karameles Woogie Sirds Formas Ar  Aveņu Garšu 175g V26,"2,39 € - 3,29 €",1.39
Cepumi Beckys Macarons Veida 130g V26,"5,29 € - 6,19 €",4.29
Dražejas Beckys Lips Un Hearts 55g V26,"2,39 € - 3,29 €",1.39
Želejkonfekte Beckys Lielā Ar Zemeņu Garšu 80g V26,"2,79 € - 3,69 €",1.79
Zefīrs Uz Kociņa Beckys Valentine 55g V26,"1,99 € - 2,89 €",0.99
Zefīrs Uz Kociņa Beckys Valentine 55g V26,"1,99 € - 2,89 €",0.99
Gardmaize Latvijas Maiznieks Dūmu Ar Kūpinatu Gaļu 350g,"2,89 € - 3,39 €",1.59
Siers Mozzarella Formagia Light 125g,"1,99 € - 2,89 €",0.99
Desa Rgk Kvalitātes Standarts Servelāde Pusžāvētā 400g,"3,69 € - 4,59 €",2.69
D Dzēriens Battery Caff Free Original 500ml Can,"1,09 € - 1,15 €",0.89
D Dzēriens Battery Caff Free Strawberry Lime 500ml Can,"1,09 € - 1,15 €",0.89
Konfekšu Kārba Geisha Sirds Forma 190g V26,"7,99 € - 8,89 €",6.99
Tostermaize Fazer Saldskābā Ierauga 500g,"2,69 € - 3,59 €",1.69
Formas Maize Fazer Ierauga Sēklu Klaips 600g,"2,69 € - 3,59 €",1.69
Konfekšu Kārba Roshen Cherry Queen 122g V26,"4,69 € - 5,59 €",3.69
Konfekšu Kārba Mon Cheri Ar Ķiršu Liķieri 157.5g V26,"7,99 € - 8,15 €",6.99
Graudainais Biezpiens Piatnica 5% 200g,‌,0.99
D Alus Brūža Tradicionālais 5% 0.5l,"1,79 € - 1,85 €",1.09
D Dzēriens Coca-cola 4x330ml Can,"2,89 € - 2,99 €",2.19
D Dzēriens Coca-cola Zero 4x330ml Can,"2,89 € - 2,99 €",2.19
Autiņbiksītes Huggies Extra Care S2 3-6kg 58gab,"10,89 € - 11,79 €",9.89
Biezputra Kviešu Kabrita Bumbieru Ābolu Persiku 5+ 180g,‌,5.99
Biezputra 7graudu Ar Kazas Pienu Kabrita Ar Banāniem 6+ 180g,‌,5.99
Biezenis Kabrita Ābols Burkāns 6+ 100g,‌,2.19
Biezenis Kabrita Ābols Banāns Zemene 6+ 100g,‌,2.19
Nageti Tip Top Cāļa Filejas 300g,‌,1.79
Tualetes Papīrs Ruta Dream Touch 4kārtas 8ruļļi,"4,69 € - 5,59 €",3.69
Konjaks Gautier Vsop 40% 0.7l,"33,99 € - 35,69 €",30.99
Mērce Kikkoman Sojas 1l,"10,35 € - 10,45 €",7.19
Mērce Kikkoman Sojas 43% Mazāk Sāls 150ml,"3,69 € - 4,19 €",2.59
Majonēze Mālpils Salātu 250g,"1,09 € - 1,39 €",0.69
Atkr.maisi Tip Top 60l 10gab 30mkr Ldpe Melni 60x78cm,‌,1.19
Majonēze Rositten Provansas 40% 200g,"0,79 € - 0,99 €",0.49
Zefīrs Tip Top Glazēts Ar Vaniļas Garšu 180g,‌,1.99
Gardmaize Latvijas Maiznieks Dabas Ar Sēklām Un Medu 500g,"1,89 € - 2,19 €",1.59
Batoniņš Lila Vanila Ar Piena Pildījumu 30g,‌,0.49
Šokolāde Milka Bubbly Coconut 97g,"2,59 € - 3,09 €",1.59
Šokolāde Milka Oreo Strawberry 92g,"2,59 € - 3,09 €",1.59
Musli Batoniņš Axa Ar Zemeņu Un Jogurta Garšu 25g,"0,49 € - 0,59 €",0.35
Biezpiens Vājpiena Fit! Bez Laktozes 0.5% 400g,‌,1.59
Biezpiens Jaunpils 5% 600g,‌,2.99
Sausās Brokastis Kelloggs Oaties Cocoa Crunch 360g,"5,49 € - 5,99 €",4.49
Sausās Brokastis Kelloggs Special K 335g,"5,09 € - 5,59 €",4.09
Sausās Brokastis Kelloggs Special K Protein 320g,"5,49 € - 5,99 €",4.49
Galda Salvetes Opā Pelēkas 1ply 33x33cm 50gab,‌,0.99
Galda Salvetes Opā Zilas 1ply 33x33cm 50gab,‌,0.99
Galda Salvetes Opā Melnas 1ply 33x33cm 50gab,‌,0.99
Galda Salvetes Opā Brūnas 1ply 33x33cm 50gab,‌,0.99
Galda Salvetes Opā Rozā 1ply 33x33cm 50gab,‌,0.99
Galda Salvetes Opā Dzeltenas 1ply 33x33cm 50gab,‌,0.99
Galda Salvetes Opā Zaļas 1ply 33x33cm 50gab,‌,0.99
Galda Salvetes Opā Baltas 1ply 33x33cm 50gab,‌,0.99
Galda Salvetes Opā Sarkanas 1ply 33x33cm 50gab,‌,0.99
Galda Salvetes Opā Violetas 1ply 33x33cm 50gab,‌,0.99
Vafeļu Trubiņas Beckys Ar Lazdu Riekstu Krēmu 400g,"3,99 € - 4,49 €",3.19
Vafeles Trubiņas Beckys Ar Mandeļu Krēmu 400g,"3,99 € - 4,49 €",3.19
Šerbets Skrīveru Ar Zemesriekstiem 250g,"2,99 € - 3,49 €",2.09
Viskijs Proper No. Twelve 40% 0.7l,"30,99 € - 31,62 €",20.99
Proteīna Batoniņš Barebells Soft Coco Choco 55g,"3,29 € - 3,79 €",2.49
Proteīna Batoniņš Barebells Lemon Cheesecake 55g,"3,29 € - 3,79 €",2.49
Šokolādes Batoniņš Kit Kat Chunky Funky 42g,"1,19 € - 1,39 €",0.89
Vafeļu Batoniņš Alibi Max Dark Crisp 49g,"0,69 € - 0,85 €",0.52
Vafeļu Batoniņš Alibi Max Kokosriekstu 49g,"0,69 € - 0,85 €",0.52
D Dzēriens Mangaļi Vitafruit Aprikožu Gāzēts 500ml Pet,‌,0.59
Makadāmijas Rieksti Y.e.s. 150g,"2,99 € - 3,09 €",2.15
Makadāmijas Rieksti  Y.e.s. Grauzdēti 150g,"3,49 € - 3,99 €",2.39
Makadāmijas Rieksti Y.e.s. Grauzdēti Sālīti 150g,"3,39 € - 3,49 €",2.39
Dz.vīns Sovietskoje Polusladkoje 10% 0.75l,‌,3.09
Galetes Rice Up Ar 7 Super Sēklām Organic 120g,"1,49 € - 1,79 €",1.19
Tortu Krēms Dr.oetker Ar Vaniļas Garšu 105g,"2,39 € - 2,89 €",1.99
Grauzdiņi Mogyi Daudzgraudu Ar Ķiploka Garšu 65g,"1,05 € - 1,25 €",0.75
Grauzdiņi Mogyi Daudzgraudu Ar Bekona Garšu 65g,"1,05 € - 1,25 €",0.75
Viskijs Back To Black Scotch Whiskey 40% 0.7l,"17,49 € - 17,85 €",14.49
Sausmaizītes Obertos Ar Siera Garšu 100g,"1,77 € - 2,39 €",1.29
Sausmaizītes Obertos Ar Galertu Un Mārrutku Garšu 100g,"1,77 € - 2,39 €",1.29
Dateles Dave&jon's Ar Cinnamon Bun Garšu 125g,"2,49 € - 2,99 €",1.99
Dateles Dave&jon's Ar Sour Watermelon Garšu 125g,"2,49 € - 2,99 €",1.99
Dateles Dave&jon's Ar Salted Caramel Peanuts Garšu 125g,"2,49 € - 2,99 €",1.99
Dateles Dave&jon's Ar Fizzy Bottles Garšu 125g,"2,49 € - 2,99 €",1.99
